2024-09-23 05:45:36.361 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration hacs which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2024-09-23 05:45:36.362 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration spook which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2024-09-23 05:45:36.363 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration ui_lovelace_minimalist which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2024-09-23 05:54:46.088 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:54:46.106 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490729264] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
2024-09-23 05:54:50.603 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:54:50.623 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490729264] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
2024-09-23 05:54:51.059 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:54:51.077 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490727536] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
2024-09-23 05:55:06.139 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:55:06.157 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490741216] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
2024-09-23 05:55:15.763 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.36 (192.168.8.36). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.1 (io.robbie.HomeAssistant.PushProvider; build:2024; iOS 18.0.0) Alamofire/5.8.0)
2024-09-23 05:55:15.843 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.36 (192.168.8.36). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.1 (io.robbie.HomeAssistant.PushProvider; build:2024; iOS 18.0.0) Alamofire/5.8.0)
2024-09-23 05:55:21.230 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:55:21.248 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490737616] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
2024-09-23 05:55:36.309 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:55:36.326 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490736320] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
2024-09-23 05:55:51.506 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.8.110 (192.168.8.110). Requested URL: '/auth/token'. (HomeAssistant-Extensions-PushProvider/2024.9.2 (io.robbie.HomeAssistant.PushProvider; build:2024.863; iOS 18.1.0) Alamofire/5.8.0)
2024-09-23 05:55:51.531 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [547490726672] from 192.168.8.110 (Home Assistant/2024.9.2 (io.robbie.HomeAssistant; build:2024.863; iOS 18.1.0)): Disconnected: Received close message during auth phase
